Nome farmacia;Indirizzo
Farmacia Comunale Bassini C.S.A. ;Via Papa Luciani, 6, 37068 Verona
Farmacia Ferron;Via Risorgimento, 2, 37068 Vigasio VR
Farmacia Forette - San Martino;Via Custoza, 2A, 37068 Forette VR
