Nome farmacia;Indirizzo
Farmacia San Rocco snc;Via Pozze, 13 b, 37026 Pescantina VR
Farmacia Settimo Miglio;Via Antonio Bertoldi, 84, 37026 Pescantina VR
Farmacia Balconi;Via Brennero, 71 B, 37026 Pescantina VR
