Nome farmacia;Indirizzo
Farmacia Castelnuovo del Garda;Piazza della Libertà, 10, 37014 Castelnuovo del Garda VR
Farmacia Pietropoli;Via Emilio Salgari, 5, 37014 Verona
Farmacia Cavalcaselle;Via XX Settembre, 99, 37014 Cavalcaselle VR
