Nome farmacia;Indirizzo;Tipo
Farmacia di Palazzolo;Via IV Novembre, 46, 37060, Palazzolo di Sona (VR);Comunali
Farmacia di Sona;Piazza della Vittoria, 10, 37060, Sona (VR);Comunali
Farmacia Comunale Viatlba;Centro Commerciale La Grande Mela, Via Festara, 1/A, 37060 Sona VR;Comunali
Farmacia Lugagnano s.a.s.;Via A.Pelacane, 9 - 37060 - Lugagnano di Sona (VR);Private
Farmacia Pumo;Via Cao del Prà, 53 - 37060 - Lugagnano di Sona (VR);Private
Farmacia San Giorgio in Salici;Via Don Vittorio Castello, 37060 Sona VR;Private
